"_id",total_tags,total_views,category_title
"_I_D_8Z4sJE",33,424538912,Music
9jI-z9QN6g8,9,337621571,Music
kLpH1nSLJSs,11,328860380,Music
wfWkmURBNv8,6,288811992,Music
VYOjWnS4cMY,4,259721696,Music
xpVfcZ0ZcFM,6,258164991,Music
ffxKSjUwKdU,10,208876887,Music
zEf423kYfqk,22,200862743,Music
FlsCjmMhFmw,37,169884583,Entertainment
sGIm0-dQd8M,34,167456025,Music
TyHvyGVs42U,11,143408235,Music
2Vv-BfVoq4g,10,138578860,Music
M4ZoCHID9GI,6,138535053,Music
Ck4xHocysLw,6,137081637,Music
7C2z4GqqS5E,6,123010920,Music
tCXGJQYZ9JA,7,117270304,Music
U9BwWKXjVaI,33,106147032,Music
au2n7VVGv_c,7,105629911,Music
6ZfuNTqbHE8,11,100672931,Entertainment
fGqdIPer-ms,15,100159686,Music
DkeiKbqa02g,19,99282704,Music
i0p1bmr0EmE,35,98250935,Music
JNkTNAknE4I,17,94344388,Music
xTlNMmZKwpA,14,94254507,Music
WtE011iVx1Q,8,92838957,Music
sD9_l3oDOag,10,92771184,Music
VTzD0jNdrmo,30,90788918,Music
LsoLEjrDogU,14,90598955,Music
gu9_m0vm7fM,13,90111676,Music
dfnCAmr569k,7,87043012,Music
iWZmdoY1aTE,10,82158039,Music
aJOTlE1K90k,7,82032462,Music
36tggrpRoTI,8,77400236,Music
817P8W8-mGE,12,76816483,Music
z5WrgDzNIZ0,32,76687716,Music
zkG4Xpz6t68,20,76024264,Music
Mgfe5tIwOj0,24,75532895,Music
vjI4Alon-3Q,30,74630710,Music
BQ31l1gPGKM,13,74572317,Music
pgN-vvVVxMA,0.0,72660090,Music
NV-3s2wwC8c,7,72469458,Music
UceaB4D0jpo,12,71173287,Music
l_lblj8Cq0o,7,71069947,Music
liczsmUSMA4,9,70001631,Music
LPTlvQ1Zet0,22,69907195,Music
JQbjS0_ZfJ0,12,69257303,Music
Iwz4P8HfGVM,41,67670181,Music
MGYJuETPQEg,21,65929869,Music
wfWIs2gFTAM,25,65582241,Music
DqSBQqj94JU,21,64580507,Music
BhIEIO0vaBE,5,62338362,People & Blogs
X8sSXU-J8fI,9,60426299,Music
J-dv_DcDD_A,4,60414277,Music
FVRPzwb1Vi4,31,60138087,Music
0XElmYomloA,44,58053323,Music
eACohWVwTOc,4,56959955,Music
QwievZ1Tx-8,16,56293347,Entertainment
rRzxEiBLQCA,34,55754734,Music
u9Mv98Gr5pY,24,55552122,Entertainment
8q1NFlE17qs,7,54872560,Music
qtTM2YV3bI8,33,54087829,Music
kTlv5_Bs8aw,6,54083634,Music
y0PMqR7IbAQ,10,54067360,Music
Wpm07-BGJnE,6,53733950,Music
LJjsm6CVsG8,28,53494574,Music
oWw1BcFhk-k,5,53139295,Music
9TRjE7i0ERY,21,52032179,Music
tsp7IOr7Q9A,29,50122125,Music
U4fErC9skHE,34,49603959,Music
6YNZlXfW6Ho,8,49178073,Music
jzD_yyEcp0M,34,48159989,Music
VwAnsAUYnw4,23,46548888,Music
95Rzsn-zjr0,12,46514582,Music
4uTNVumfm84,6,46205645,Music
QwZT7T-TXT0,20,45349447,Entertainment
31OMf1H5Rk0,10,43761370,Music
wzKL-bQKcgA,26,43460605,Comedy
J6-8DQALGt4,16,43449888,Entertainment
Ph54wQG8ynk,21,43106222,Music
ToY6sjSV8h8,8,42844249,Music
vUTI4bPdlgE,7,42563351,Music
YBpdL9hSac4,22,42560014,Film & Animation
1Aoc-cd9eYs,20,42485490,Entertainment
vn9mMeWcgoM,22,41612497,Entertainment
n1WpP7iowLc,6,39235314,Music
pjTj-_55WZ8,22,38668356,Music
WS7f5xpGYn8,6,36956703,Music
4GFAZBKZVJY,16,35463645,Music
VY1eFxgRR-k,7,35181079,Music
xVhnfTwh1OA,14,34828669,Entertainment
pVxOVlm_lE8,36,33980206,Entertainment
op4B9sNGi0k,14,32798394,Music
kton-qrKNLc,20,32324578,Music
khPLWaBioOs,30,31940868,Entertainment
9t9u_yPEidY,17,31815783,Music
tcaw6lzYt1Q,19,31686727,Music
sS0LCjOiIhc,52,31391976,Music
p03TIGqEc8o,39,31371692,Music
aEM2kOrrNJI,19,30599645,Music
CX11yw6YL1w,4,30522582,Music
p8npDG2ulKQ,6,29742824,Music
Il-an3K9pjg,17,29641412,Music
vecSVX1QYbQ,10,29556761,Music
eVmxh5Uft0Y,27,28817060,Music
Bm8rz-llMhE,19,28352613,Music
EBt_88nxG4c,4,27740942,Music
"_hMQe2U4c6w",4,27549116,Music
gA-NDZb29I4,4,27494161,Music
Pgd_Tgi-pbQ,23,27483029,Music
nQcUJdncTeg,13,27258657,Music
3ATQvgkXT9E,22,26813229,Music
tYDmvYhQ6wI,11,26578841,Music
ZbB4SYJNuTo,20,25910075,Music
i5qOzqD9Rms,28,25733743,Film & Animation
dc89yyOS0Z8,22,25462255,Entertainment
l884wKofd54,4,25066952,Music
E5yFcdPAGv0,19,25016614,Music
sXP6vliZIHI,19,24651559,People & Blogs
h6Yx7IIl8iY,22,24374813,Music
NooW_RbfdWI,18,24293173,Entertainment
20bpjtCbCz0,24,24152049,Film & Animation
2nUW3nIOOOg,7,24075677,Music
nFmSepfF48o,0.0,23676003,Entertainment
6OcOO1k-vGE,1,23600245,Music
SCq8n_hOcN8,17,23570987,Music
ryr75N0nki0,28,23464557,Music
OK3GJ0WIQ8s,6,23416810,Music
1SnWTW6YXbE,19,23237150,Music
8h--kFui1JA,5,22999573,Music
V5cOvyDpWfM,23,22975455,Sports
S0nbOenwCLw,10,22912517,Music
g4Hbz2jLxvQ,26,22713067,Entertainment
BNzc6hG3yN4,12,22262762,Music
HI-mXMr8glQ,13,22031899,Music
ycy30LIbq4w,7,22030457,Music
90CCjgX0n20,0.0,21964337,Entertainment
V54CEElTF_U,3,21893347,Music
VhQmTmqcEY0,8,21853809,Music
wbSwFU6tY1c,0.0,21530325,Science & Technology
AQNj9fMnzDo,9,21315034,Music
p6E9R9qv1No,22,21265117,Music
8JnfIa84TnU,21,21250349,Music
xZNBFcwd7zc,24,21172465,Film & Animation
AE5PqQ_6V5Y,25,21103105,Music
mzB1VGEGcSU,21,20981880,Entertainment
9XaS93WMRQQ,15,20816288,Music
DKPCBAlDw2A,4,20756156,Music
kX0vO4vlJuU,6,20721039,Music
xYtsL9znopI,4,20710860,Music
mdWcaWBxxcY,8,20705342,Entertainment
UUkn-enk2RU,13,20667905,Entertainment
d1D1SJ-KqaQ,10,20622018,Music
kFMZUxX6K6o,33,20520499,Music
baj6llvgpWA,4,20449534,Music
V15BYnSr0P8,33,20409647,Music
BidS_rcf7UU,7,20262996,Music
fAIX12F6958,0.0,19864779,Film & Animation
coOKvrsmQiI,32,19678970,Entertainment
wS4ESheuHDY,15,19629105,Music
wrvN87l3s08,11,19556652,Music
71Es-8FfATo,24,19551051,Music
tjA7nAHOAww,30,19377506,Music
ufynqs_COF4,37,19377077,Music
9mQk7Evt6Vs,28,19366458,Music
DdLYSziSXII,12,19280188,Music
jY3lRSmdLQg,38,19266701,Music
P3iLo_JI9oY,32,19161496,Music
G3Sl2vJrmf0,24,19157357,Music
"_XyBa8QsVQU",28,19121908,Music
SxAp27sFaIM,21,19001424,People & Blogs
NZ74oFctP_g,15,18994966,News & Politics
6SuMbFuKDf8,4,18897251,Music
JwAnH6PLimo,17,18809249,Entertainment
pHE8nIB6j2U,18,18804942,Music
6uJf2IT2Zh8,19,18778325,Music
ErKz5mD61q4,11,18663711,Music
R59TevgzN3k,13,18189982,Entertainment
HwkLbeEYz6E,0.0,18158133,Gaming
"_KBc4B5JFoQ",9,18049888,Music
TbfxmTQkLAE,11,17957402,Music
J75enyWdbBM,6,17901712,Music
tlILlcCE8Sc,4,17841722,Music
JSXGagNzNLw,18,17652685,Entertainment
dARAN1z2KqY,36,17172722,Music
ZEkImgh--PE,22,17164692,Music
wQ_POfToaVY,2,17111348,Music
SA7AIQw-7Ms,4,17090129,Music
7GD1oeLeGUU,27,16981435,Music
tEnCoocmPQM,18,16914678,Music
NukmFF__G-g,7,16878331,Music
5sEaYB4rLFQ,24,16869165,Entertainment
Gc71AmT_b2k,29,16796088,Music
XiHiW4N7-bo,31,16651726,Film & Animation
IlkBLwl4aBM,8,16427563,Music
dzxFdtWmjto,21,16416756,Entertainment
iQp1_GfDhwQ,12,16391077,Music
w4AImq08j9o,4,16202327,Comedy
u_SA2QkZd24,17,16126209,Music
JVDyowAzBrU,14,16001760,Music
uxbQATBAXf8,26,15960127,Film & Animation
elwTgpHlty0,35,15931393,Music
FRjOSmc01-M,33,15870333,Music
b7K_lbglfI4,29,15671489,Music
8O_MwlZ2dEg,6,15635625,Music
OrnpSe4OChM,34,15543723,Comedy
x4CF5pruJz4,27,15241146,Gaming
5x-d3pabd5o,13,15145276,Music
pmMjkMtpnTc,28,15007407,Music
EhSXsTSNDyo,17,14565961,Music
PVbQrvlB_gw,7,14563324,Music
A_xWDAbnBSU,10,14445005,Music
tLOl3s0uIM4,9,14399269,Music
"_qQsPw4CqUI",32,14328102,Music
"-DRsfNObKIQ",8,14317515,Entertainment
M4vnmgZLA8s,4,14271333,Music
9_LIP7qguYw,7,14261473,Entertainment
2z3EUY1aXdY,46,14251760,Sports
swqmsRWM4rY,18,14241297,Music
56KYMMGudcU,18,14225905,Music
H4Hb6HcCm_E,26,14181777,People & Blogs
HgknAaKNaMM,7,14178451,Music
GpxCT36DxKg,21,14173801,Entertainment
pz95u3UVpaM,31,14161007,Music
ExJmET8boVw,12,14134753,Entertainment
VmwOMtkDxtk,26,14008109,Music
3Q2j5ApzSqs,4,13990890,Music
UuCq8mtK8J4,11,13935992,Music
V69XYIRjKww,29,13899153,Entertainment
XUqRem0W8L8,28,13884808,Music
RQUuqbzQVsY,17,13809604,Music
N1HAMUAXzbs,9,13799079,Music
CziHrYYSyPc,8,13779935,Entertainment
L_u97PqWX6g,4,13763329,Music
"_5d-sQ7Fh5M",29,13754992,Entertainment
k1xvol1SCx8,14,13752785,Music
1XKSo2mFC6c,33,13592652,Entertainment
sjVqDg32_8s,37,13532625,Film & Animation
P3BMmJtbZUs,26,13521617,People & Blogs
9wg3v-01yKQ,4,13420530,Music
2NlNEj2mCIg,46,13344328,Music
xCwwxNbtK6Y,23,13259857,Entertainment
yzGmnjDFuZE,4,13227145,Entertainment
p8XP7A7kvzM,26,13217367,Entertainment
ntLtNTUCuII,18,13189806,Music
BQ_0QLL2gqI,16,13175590,Music
6S9c5nnDd_s,19,13140827,Film & Animation
"_EvMYEfF_hQ",23,13025011,Entertainment
ek1ePFp-nBI,21,12955997,Entertainment
NWdc7PyZNLA,16,12924004,Comedy
TnCa71iUVxA,6,12742106,Music
ox7RsX1Ee34,14,12730630,Music
D_6QmL6rExk,8,12709520,Music
SKV6h_5XFbk,19,12642523,Comedy
gZItyr1SNjU,35,12595519,Music
8OARiNiJ_w8,4,12344800,Music
r1CMjQ0QJ1E,5,12340820,Music
wowAOdTYqw8,6,12332882,Music
5GHXEGz3PJg,7,12293782,Music
3ChgRbqGi-E,4,12173614,Music
