"_id",total_tags,total_views
"_I_D_8Z4sJE",33,424538912
9jI-z9QN6g8,9,337621571
kLpH1nSLJSs,11,328860380
wfWkmURBNv8,6,288811992
VYOjWnS4cMY,4,259721696
xpVfcZ0ZcFM,6,258164991
ffxKSjUwKdU,10,208876887
zEf423kYfqk,22,200862743
FlsCjmMhFmw,37,169884583
sGIm0-dQd8M,34,167456025
TyHvyGVs42U,11,143408235
2Vv-BfVoq4g,10,138578860
M4ZoCHID9GI,6,138535053
Ck4xHocysLw,6,137081637
7C2z4GqqS5E,6,123010920
tCXGJQYZ9JA,7,117270304
U9BwWKXjVaI,33,106147032
au2n7VVGv_c,7,105629911
6ZfuNTqbHE8,11,100672931
fGqdIPer-ms,15,100159686
DkeiKbqa02g,19,99282704
i0p1bmr0EmE,35,98250935
JNkTNAknE4I,17,94344388
xTlNMmZKwpA,14,94254507
WtE011iVx1Q,8,92838957
sD9_l3oDOag,10,92771184
VTzD0jNdrmo,30,90788918
LsoLEjrDogU,14,90598955
gu9_m0vm7fM,13,90111676
dfnCAmr569k,7,87043012
iWZmdoY1aTE,10,82158039
aJOTlE1K90k,7,82032462
36tggrpRoTI,8,77400236
817P8W8-mGE,12,76816483
z5WrgDzNIZ0,32,76687716
zkG4Xpz6t68,20,76024264
Mgfe5tIwOj0,24,75532895
vjI4Alon-3Q,30,74630710
BQ31l1gPGKM,13,74572317
pgN-vvVVxMA,0.0,72660090
NV-3s2wwC8c,7,72469458
UceaB4D0jpo,12,71173287
l_lblj8Cq0o,7,71069947
liczsmUSMA4,9,70001631
LPTlvQ1Zet0,22,69907195
JQbjS0_ZfJ0,12,69257303
Iwz4P8HfGVM,41,67670181
MGYJuETPQEg,21,65929869
wfWIs2gFTAM,25,65582241
DqSBQqj94JU,21,64580507
BhIEIO0vaBE,5,62338362
X8sSXU-J8fI,9,60426299
J-dv_DcDD_A,4,60414277
FVRPzwb1Vi4,31,60138087
0XElmYomloA,44,58053323
eACohWVwTOc,4,56959955
QwievZ1Tx-8,16,56293347
rRzxEiBLQCA,34,55754734
u9Mv98Gr5pY,24,55552122
8q1NFlE17qs,7,54872560
qtTM2YV3bI8,33,54087829
kTlv5_Bs8aw,6,54083634
y0PMqR7IbAQ,10,54067360
Wpm07-BGJnE,6,53733950
LJjsm6CVsG8,28,53494574
oWw1BcFhk-k,5,53139295
9TRjE7i0ERY,21,52032179
tsp7IOr7Q9A,29,50122125
U4fErC9skHE,34,49603959
6YNZlXfW6Ho,8,49178073
jzD_yyEcp0M,34,48159989
VwAnsAUYnw4,23,46548888
95Rzsn-zjr0,12,46514582
4uTNVumfm84,6,46205645
QwZT7T-TXT0,20,45349447
31OMf1H5Rk0,10,43761370
wzKL-bQKcgA,26,43460605
J6-8DQALGt4,16,43449888
Ph54wQG8ynk,21,43106222
ToY6sjSV8h8,8,42844249
vUTI4bPdlgE,7,42563351
YBpdL9hSac4,22,42560014
1Aoc-cd9eYs,20,42485490
vn9mMeWcgoM,22,41612497
n1WpP7iowLc,6,39235314
pjTj-_55WZ8,22,38668356
WS7f5xpGYn8,6,36956703
4GFAZBKZVJY,16,35463645
VY1eFxgRR-k,7,35181079
xVhnfTwh1OA,14,34828669
pVxOVlm_lE8,36,33980206
op4B9sNGi0k,14,32798394
kton-qrKNLc,20,32324578
khPLWaBioOs,30,31940868
9t9u_yPEidY,17,31815783
tcaw6lzYt1Q,19,31686727
sS0LCjOiIhc,52,31391976
p03TIGqEc8o,39,31371692
aEM2kOrrNJI,19,30599645
CX11yw6YL1w,4,30522582
p8npDG2ulKQ,6,29742824
Il-an3K9pjg,17,29641412
vecSVX1QYbQ,10,29556761
eVmxh5Uft0Y,27,28817060
Bm8rz-llMhE,19,28352613
EBt_88nxG4c,4,27740942
"_hMQe2U4c6w",4,27549116
gA-NDZb29I4,4,27494161
Pgd_Tgi-pbQ,23,27483029
nQcUJdncTeg,13,27258657
3ATQvgkXT9E,22,26813229
oWjxSkJpxFU,16,26703269
tYDmvYhQ6wI,11,26578841
ZbB4SYJNuTo,20,25910075
i5qOzqD9Rms,28,25733743
dc89yyOS0Z8,22,25462255
l884wKofd54,4,25066952
E5yFcdPAGv0,19,25016614
sXP6vliZIHI,19,24651559
h6Yx7IIl8iY,22,24374813
NooW_RbfdWI,18,24293173
20bpjtCbCz0,24,24152049
2nUW3nIOOOg,7,24075677
nFmSepfF48o,0.0,23676003
6OcOO1k-vGE,1,23600245
SCq8n_hOcN8,17,23570987
ryr75N0nki0,28,23464557
OK3GJ0WIQ8s,6,23416810
1SnWTW6YXbE,19,23237150
8h--kFui1JA,5,22999573
V5cOvyDpWfM,23,22975455
S0nbOenwCLw,10,22912517
g4Hbz2jLxvQ,26,22713067
BNzc6hG3yN4,12,22262762
HI-mXMr8glQ,13,22031899
ycy30LIbq4w,7,22030457
90CCjgX0n20,0.0,21964337
V54CEElTF_U,3,21893347
VhQmTmqcEY0,8,21853809
wbSwFU6tY1c,0.0,21530325
AQNj9fMnzDo,9,21315034
p6E9R9qv1No,22,21265117
8JnfIa84TnU,21,21250349
xZNBFcwd7zc,24,21172465
AE5PqQ_6V5Y,25,21103105
mzB1VGEGcSU,21,20981880
9XaS93WMRQQ,15,20816288
DKPCBAlDw2A,4,20756156
kX0vO4vlJuU,6,20721039
xYtsL9znopI,4,20710860
mdWcaWBxxcY,8,20705342
UUkn-enk2RU,13,20667905
d1D1SJ-KqaQ,10,20622018
kFMZUxX6K6o,33,20520499
baj6llvgpWA,4,20449534
V15BYnSr0P8,33,20409647
BidS_rcf7UU,7,20262996
fAIX12F6958,0.0,19864779
coOKvrsmQiI,32,19678970
wS4ESheuHDY,15,19629105
wrvN87l3s08,11,19556652
71Es-8FfATo,24,19551051
tjA7nAHOAww,30,19377506
ufynqs_COF4,37,19377077
9mQk7Evt6Vs,28,19366458
DdLYSziSXII,12,19280188
jY3lRSmdLQg,38,19266701
P3iLo_JI9oY,32,19161496
G3Sl2vJrmf0,24,19157357
"_XyBa8QsVQU",28,19121908
SxAp27sFaIM,21,19001424
NZ74oFctP_g,15,18994966
6SuMbFuKDf8,4,18897251
JwAnH6PLimo,17,18809249
pHE8nIB6j2U,18,18804942
6uJf2IT2Zh8,19,18778325
ErKz5mD61q4,11,18663711
R59TevgzN3k,13,18189982
HwkLbeEYz6E,0.0,18158133
"_KBc4B5JFoQ",9,18049888
TbfxmTQkLAE,11,17957402
J75enyWdbBM,6,17901712
tlILlcCE8Sc,4,17841722
JSXGagNzNLw,18,17652685
dARAN1z2KqY,36,17172722
ZEkImgh--PE,22,17164692
wQ_POfToaVY,2,17111348
SA7AIQw-7Ms,4,17090129
7GD1oeLeGUU,27,16981435
tEnCoocmPQM,18,16914678
NukmFF__G-g,7,16878331
5sEaYB4rLFQ,24,16869165
Gc71AmT_b2k,29,16796088
XiHiW4N7-bo,31,16651726
IlkBLwl4aBM,8,16427563
dzxFdtWmjto,21,16416756
iQp1_GfDhwQ,12,16391077
w4AImq08j9o,4,16202327
u_SA2QkZd24,17,16126209
JVDyowAzBrU,14,16001760
uxbQATBAXf8,26,15960127
elwTgpHlty0,35,15931393
FRjOSmc01-M,33,15870333
b7K_lbglfI4,29,15671489
8O_MwlZ2dEg,6,15635625
OrnpSe4OChM,34,15543723
x4CF5pruJz4,27,15241146
5x-d3pabd5o,13,15145276
pmMjkMtpnTc,28,15007407
EhSXsTSNDyo,17,14565961
PVbQrvlB_gw,7,14563324
A_xWDAbnBSU,10,14445005
tLOl3s0uIM4,9,14399269
"_qQsPw4CqUI",32,14328102
"-DRsfNObKIQ",8,14317515
M4vnmgZLA8s,4,14271333
9_LIP7qguYw,7,14261473
2z3EUY1aXdY,46,14251760
swqmsRWM4rY,18,14241297
56KYMMGudcU,18,14225905
H4Hb6HcCm_E,26,14181777
HgknAaKNaMM,7,14178451
GpxCT36DxKg,21,14173801
pz95u3UVpaM,31,14161007
ExJmET8boVw,12,14134753
VmwOMtkDxtk,26,14008109
3Q2j5ApzSqs,4,13990890
UuCq8mtK8J4,11,13935992
V69XYIRjKww,29,13899153
XUqRem0W8L8,28,13884808
RQUuqbzQVsY,17,13809604
N1HAMUAXzbs,9,13799079
CziHrYYSyPc,8,13779935
L_u97PqWX6g,4,13763329
"_5d-sQ7Fh5M",29,13754992
k1xvol1SCx8,14,13752785
1XKSo2mFC6c,33,13592652
sjVqDg32_8s,37,13532625
P3BMmJtbZUs,26,13521617
9wg3v-01yKQ,4,13420530
2NlNEj2mCIg,46,13344328
xCwwxNbtK6Y,23,13259857
yzGmnjDFuZE,4,13227145
p8XP7A7kvzM,26,13217367
ntLtNTUCuII,18,13189806
BQ_0QLL2gqI,16,13175590
6S9c5nnDd_s,19,13140827
"_EvMYEfF_hQ",23,13025011
ek1ePFp-nBI,21,12955997
NWdc7PyZNLA,16,12924004
TnCa71iUVxA,6,12742106
ox7RsX1Ee34,14,12730630
D_6QmL6rExk,8,12709520
SKV6h_5XFbk,19,12642523
gZItyr1SNjU,35,12595519
8OARiNiJ_w8,4,12344800
r1CMjQ0QJ1E,5,12340820
wowAOdTYqw8,6,12332882
5GHXEGz3PJg,7,12293782
3ChgRbqGi-E,4,12173614
8LPVjHxXvJM,36,12147267
TdyllLZeviY,19,11979805
fRj34o4hN4I,5,11807992
jPEYpryMp2s,11,11683185
qUmfriZoMw0,37,11619692
i3cN9elJWvk,18,11548688
rDl3gAJpm_4,4,11505443
RF-Mqs2qC-M,35,11489427
y06RDyNXqbM,8,11395548
M3mJkSqZbX4,24,11380346
dNW0B0HsvVs,8,11344490
yzshoDMBkqE,3,11304442
jQNazsWnQKU,6,11240174
udm5jUA-2bs,14,10916709
2BE4X3bYpxY,22,10796531
Ku-WC1EaPXI,33,10782034
rxmtHVSVjdo,24,10680181
jVXauWq9Hwg,24,10653177
D18e8aU-UWs,2,10643045
3rkXFyt7EXw,21,10589247
DSRSgMp5X1w,13,10505570
o7iL2KzDh38,27,10470459
